recording_start_location,location_latitude,location_longitude,recording_route,recording_description,recording_name,recording_special_sounds,recording_date,source
Ladhies Road,-1.2871685,36.83652099999995,"Bike Then walking Landhies Road end to end, Jua Kali Place – Kamkunji Grounds",Binaural microphone,Alacoque_ZOOM0034_EQ,"Tuk Tuk sounds moving and stationary, Tuk tuk hooting, a person whistling, a truck, People speaking different languages,(swahili, Kikuyu and hoped to hear some Dholuo), metal workers, hum of a truck in the distance, metallic banging, phone radio interference",2019-09-23 11:24,upload://Alacoque_ZOOM0034_EQ.wav
Ladhies Road,-1.2871685,36.83652099999995,I am on Ladhies Road and I use the bike at a speed of 5km/hr. I got stationary for 2min then I walk down at the Jua Kali Market,Binaural microphone,Alacoque_ZOOM0035_EQ,"Tuktuk, motorcycle, welding and metalwork banging, people speaking Kikuyu",2019-09-23 11:44,upload://Alacoque_ZOOM0035_EQ.wav
Oloolua Primate Center,-1.3653407,36.70380979999999,"walking around a stream in Oloolua Forest, swamp",Binaural microphone,ZOOM0027_EQ,"bird calls, cows mooing, camera clicking, water flowing",2019-09-18 16:58,upload://ZOOM0027_EQ.wav
"Dagoz Artist Bar, Karandini Road",-1.2994761,36.757742,"standing inside Dagoz Bar, at a table in the back right of the performance venue",Binaural microphone,ZOOM0030_EQ,"band playing, people talking, applause, shouting, screaming",2019-09-18 23:11,upload://ZOOM0030_EQ.wav
Kenya National Theater - Harry Thuku Road,-1.2785132,36.8156772,"At the Kenya National Theater, walking from the gate to the theatre space",Binaural microphone,Black_ZOOM0001_EQ,"Voices, security check, conga drums and poets, voices, laughter and cheering, motor sound. Short freestyle from Black. Languages: Sheng, Kiswahili.",2019-09-12 14:23,upload://Black_ZOOM0001_EQ.wav
Mirema Highview Estate,-1.2129941,36.886933,sitting outside on a ground-floor balcony,Binaural microphone,Zoom0014,"Bird sounds, Cock crowing, Matatu Horns, Shuttering of doors",2019-09-14 06:05,upload://Zoom0014.wav
Mirema bus stage 44,-1.2129573,36.8928845,"Standing at the bus stop, seated inside the number 44 bus in the middle left side, from Mirema to Roysambu via Kamiti Road",Binaural microphone,Zoom0016,"Building noise hammers hitting stones, touts shouting route/ calling out to passengers, banging on the bus door, Coughing, Car hooting, Wind in ears, Touts on the road instructing drivers out of the deadlock, Bus engine, Background Music, Conversations, Motorcycles passing by, Child mumbling, Car braking",2019-09-14 16:37,upload://Zoom0016.wav
"Roysambu bus station (route 44), A2",-1.2172643,36.8936972,"sitting in bus number 44, back left side, from Roysambu to Garden City Mall stage via Thika Road highway",Binaural microphone,Zoom0017,"Voices, Laughing, Crying, Children voice, Shaking coins in hand, Banging of bus roof/door, Shouting, Birds, Metallic Banging",2019-09-15 13:51,upload://Zoom0017.wav
"KNH bus stage 32, outside Kenyatta Hospital",-1.300687,36.808813,"Sitting in the bus number 32, back left side, KNH bus stage to Ngong Road, branch left to Kabarnet Road then right to Kibera Road, join Kibera drive and end at Kwa DC stage",Binaural microphone,Zoom0018,"Voices, Conversations, Car hooting, Revving of engines, Birds, Coughing, Phone ring, Slamming of Bus door, Wrapping paper, Bus door rattling, Child crying, Car braking, Phone conversation, Tout shouting",2019-09-15 14:38,upload://Zoom0018.wav
Kikuyu Town - Nderi Road,-1.2368373,36.6622682,Walking from Nderi Road to Powerstar Kikuyu,Binaural microphone,Brian_ZOOM0009_EQ,"Matatu breaking down, conversations in Kikuyu and Kiwahili, hum of trucks and PSVs on the Southern Bypass",2019-09-12 19:12,upload://Brian_ZOOM0009_EQ.wav
